Tema;Ramo do direito;Assuntos;Tese Firmada;Anotações NUGEPNAC;Informações Complementares;Repercussão Geral
1;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8867) Substituição Processual, (9494) Substituição da Parte;"A substituição processual, no polo ativo da execução, do exequente originário pelo cessionário dispensa a autorização ou o consentimento do devedor.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
É possível a sucessão processual do credor (cedente) pelo cessionário, independentemente da anuência do devedor, na hipótese de cessão de crédito oriundo de precatório.
";-;Tema 361/STF - Transmudação da natureza de precatório alimentar em normal em virtude de cessão do direito nele estampado.
1;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (8867) Substituição Processual, (9494) Substituição da Parte;"A substituição processual, no polo ativo da execução, do exequente originário pelo cessionário dispensa a autorização ou o consentimento do devedor.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
É possível a sucessão processual do credor (cedente) pelo cessionário, independentemente da anuência do devedor, na hipótese de cessão de crédito oriundo de precatório.
";-;Tema 361/STF - Transmudação da natureza de precatório alimentar em normal em virtude de cessão do direito nele estampado.
2;DIREITO PROCESSUAL CIVIL E DO TRABALHO;(8826) DIREITO PROCESSUAL CIVIL E DO TRABALHO, (10655) Honorários Advocatícios;Comprovada a validade do ato de cessão dos honorários advocatícios sucumbenciais, realizado por escritura pública, bem como discriminado no precatório o valor devido a título da respectiva verba advocatícia, deve-se reconhecer a legitimidade do cessionário para se habilitar no crédito consignado no precatório.;RRC de Origem (art. 543-C, §1º, do CPC/73).<br /><br>O cessionário tem legitimidade para se habilitar no crédito consignado em precatório quando, tratando-se de cessão de crédito de honorários advocatícios sucumbenciais, validamente realizada, estiver discriminado no precatório o valor devido a título da respectiva verba advocatícia.;-;-
3;DIREITO ADMINISTRATIVO;(9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, (10318) Índice da URV Lei 8.880/1994, (10313) Reajustes de Remuneração, Proventos ou Pensão, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão;"A imposição ao Estado do Rio Grande do Sul da conversão das retribuições aos servidores pela URV (Lei 8.880/94), apesar dos reajustes voluntários já concedidos à categoria pelo Governo Gaúcho a pretexto dessa mesma conversão, somente seria cabível se evidenciado algum prejuízo vencimental decorrente daquela antecipação voluntária.
";"Processos destacados de ofício pelo relator.<br />
O Estado somente poderia ser compelido à aplicação da URV na conversão da remuneração dos servidores públicos estaduais de Cruzeiro Real para Real se evidenciado prejuízo decorrente dos reajustes aplicados antecipadamente por disposição de lei estadual.
";-;Tema 539/STF - Conversão monetária de vencimentos de servidores públicos estaduais, sem intermédio de URV.
3;DIREITO ADMINISTRATIVO;(9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, (10318) Índice da URV Lei 8.880/1994, (10313) Reajustes de Remuneração, Proventos ou Pensão, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão;"A imposição ao Estado do Rio Grande do Sul da conversão das retribuições aos servidores pela URV (Lei 8.880/94), apesar dos reajustes voluntários já concedidos à categoria pelo Governo Gaúcho a pretexto dessa mesma conversão, somente seria cabível se evidenciado algum prejuízo vencimental decorrente daquela antecipação voluntária.
";"Processos destacados de ofício pelo relator.<br />
O Estado somente poderia ser compelido à aplicação da URV na conversão da remuneração dos servidores públicos estaduais de Cruzeiro Real para Real se evidenciado prejuízo decorrente dos reajustes aplicados antecipadamente por disposição de lei estadual.
";-;Tema 539/STF - Conversão monetária de vencimentos de servidores públicos estaduais, sem intermédio de URV.
4;DIREITO ADMINISTRATIVO;(10288) Sistema Remuneratório e Benefícios, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO, (10219) Servidor Público Civil;"O art. 1º-F, da Lei 9.494/97, que fixa os juros moratórios nas ações ajuizadas contra a Fazenda Pública no patamar de 6%, é de ser aplicado tão somente às demandas ajuizadas após a sua entrada em vigor.
";"RRC de Origem (art. 543-C, §1º, do CPC/73).<br />
São devidos juros moratórios de 6% ao ano em condenação imposta à Fazenda Pública, cuja ação foi ajuizada após a entrada em vigor do art. 1º-F da Lei 9.494/1997.
";-;Tema 435/STF - Aplicação do artigo 1º-F da Lei 9.494/97 nas ações ajuizadas anteriormente à sua vigência.
5;DIREITO ADMINISTRATIVO;(10324) Militar, (10349) Reforma, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;"Na hipótese em que se pretende a revisão de ato de reforma de policial militar do Estado do Rio Grande do Sul, com base na Lei Complementar Estadual nº 10.990/97, com sua promoção a um posto superior na carreira militar e, como mera consequência do deferimento do pedido de promoção, a revisão de seus proventos da inatividade, a prescrição aplicável é de fundo do direito, nos termos do artigo 1º do Decreto nº 20.910/32.
";"Processos destacados de ofício pelo relator.<br />
Discussão quanto à natureza jurídica da prescrição, se de fundo de direito ou de trato sucessivo. ""Não se está a discutir vantagens pecuniárias ou parcelas que deveriam ser pagas ao autor, e que consistira em obrigação de trato sucessivo, mas, isto, sim, está-se buscando a alteração da graduação em que o demandante foi transferido para a inatividade.""
";-;-
6;DIREITO ADMINISTRATIVO;(10343) Índice de 28,86% LL 8.622/1993 e 8.627/1993, (10324) Militar, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;"Os servidores públicos militares, que foram contemplados com reajustes inferiores (concedidos pelas Leis 8.622/1993 e 8.627/1993), têm direito às diferenças entre estes e o índice de 28,86%.
";"Processos destacados de ofício pelo relator.
";"Revisão geral de remuneração.
";Tema 340/STF - Extensão do índice de reajuste de 28,86% aos militares.
7;DIREITO ADMINISTRATIVO;(10343) Índice de 28,86% LL 8.622/1993 e 8.627/1993, (10324) Militar, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;"O reajuste de 28,86% incide sobre a remuneração do servidor, o que inclui o vencimento básico (servidor público civil) ou o soldo (militar), acrescido das parcelas que não os têm como base de cálculo.
";"Processos destacados de ofício pelo relator.
";"Súmula Vinculante 51/STF - ""O reajuste de 28,86%, concedido aos servidores militares pelas Leis 8622/1993 e 8627/1993, estende-se aos servidores civis do poder executivo, observadas as eventuais compensações decorrentes dos reajustes diferenciados concedidos pelos mesmos diplomas legais"".
";-
8;DIREITO ADMINISTRATIVO;(7697) Correção Monetária, (10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (10324) Militar, (10343) Índice de 28,86% LL 8.622/1993 e 8.627/1993, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;A correção monetária deve incidir a partir da data em que deveria ter sido efetuado o pagamento de cada parcela.;Processos destacados de ofício pelo relator.<br>Sobre os valores apurados a partir da aplicação do reajuste de 28,86% sobre a remuneração do servidor deve incidir correção monetária a partir da data em que deveria ter sido efetuado o pagamento de cada parcela.;-;-
9;DIREITO ADMINISTRATIVO;(10342) Reajuste de Remuneração, Soldo, Proventos ou Pensão, (10324) Militar, (9985) DIREITO ADMINISTRATIVO E OUTRAS MATÉRIAS DE DIREITO PÚBLICO;O reajuste de 28,86% não pode ser compensado com a rubrica paga a título de complementação de salário mínimo.;Processos destacados de ofício pelo relator.;"Súmula Vinculante 51/STF - ""O reajuste de 28,86%, concedido aos servidores militares pelas Leis 8622/1993 e 8627/1993, estende-se aos servidores civis do poder executivo, observadas as eventuais compensações decorrentes dos reajustes diferenciados concedidos pelos mesmos diplomas legais"".";-
