Tipo,Número,Situação,Processos Representativos,Data Afetação,Data Desafetação,Data Julgamento,Data Publicação,Data Trâns. Julgado,Ramo Direito,Assunto,Controvérsia,Tese Firmada,Ementa,Ratio Decidendi,Referência Legislativa,Decisão Admissão/Afetação,Acórdão da Admissão ou Afetação do Precedente,Acórdão do Julgamento do Mérito do Precedente,Observações,Limite Suspensão,Detalhamento abrangência suspensão específica,Decisão Suspensão,Data da Determinação de Suspensão de Processos,Link da Decisão de Suspensão,Titulo
Tema STJ,17,Transitado em julgado,,21/08/2009,,04/11/2009,03/12/2009,17/09/2010,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,"Questiona-se o não conhecimento de reexame necessário (valor da causa tido como parâmetro para aplicação do art. 475, § 2º, do CPC).","A dispensa de reexame necessário, quando o valor da condenação ou do direito controvertido for inferior a sessenta salários mínimos, não se aplica a sentenças ilíquidas.",,,,,,,,Não Suspender,,,,,"Tema 17 - DIREITO PROCESSUAL CIVIL E DO TRABALHO - A dispensa de reexame necessário, quando o valor da condenação ou do direito controvertido for inferior a sessenta salários mínimos, não se aplica a sentenças ilíquidas."
Tema STJ,24,Transitado em julgado,,18/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO CIVIL,Contratos Bancários,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,"As instituições financeiras não se sujeitam à limitação dos juros remuneratórios estipulada na Lei de Usura (Decreto 22.626/33), Súmula 596/STF.",,,,,,,,Não Suspender,,,,,"Tema 24 - Contratos Bancários - As instituições financeiras não se sujeitam à limitação dos juros remuneratórios estipulada na Lei de Usura (Decreto 22.626/33), Súmula 596/STF."
Tema STJ,25,Transitado em julgado,,18/08/2008,,22/10/2008,10/03/2009,15/05/2010,Cláusulas Abusivas,Cláusulas Abusivas,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,"A estipulação de juros remuneratórios superiores a 12% ao ano, por si só, não indica abusividade.",,,,,,,,Não Suspender,,,,,"Tema 25 - Cláusulas Abusivas - A estipulação de juros remuneratórios superiores a 12% ao ano, por si só, não indica abusividade."
Tema STJ,26,Transitado em julgado,,18/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO CIVIL,Contratos Bancários,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,São inaplicáveis aos juros remuneratórios dos contratos de mútuo bancário as disposições do art. 591 c/c o art. 406 do CC/02.,,,,,,,,Não Suspender,,,,,Tema 26 - Contratos Bancários - São inaplicáveis aos juros remuneratórios dos contratos de mútuo bancário as disposições do art. 591 c/c o art. 406 do CC/02.
Tema STJ,27,Transitado em julgado,,19/08/2008,,22/10/2008,10/03/2009,15/05/2010,Cláusulas Abusivas,Cláusulas Abusivas,Discussão acerca dos juros remuneratórios em ações que digam respeito a contratos bancários.,"É admitida a revisão das taxas de juros remuneratórios em situações excepcionais, desde que caracterizada a relação de consumo e que a abusividade (capaz de colocar o consumidor em desvantagem exagerada (art. 51, §1 º, do CDC) fique cabalmente demonstrada",,,,,,,,Não Suspender,,,,,"Tema 27 - Cláusulas Abusivas - É admitida a revisão das taxas de juros remuneratórios em situações excepcionais, desde que caracterizada a relação de consumo e que a abusividade (capaz de colocar o consumidor em desvantagem exagerada (art. 51, §1 º, do CDC) fique cabalmente demonstrada"
Tema STJ,28,Transitado em julgado,,19/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO CIVIL,Capitalização / Anatocismo,"Discussão acerca dos juros remuneratórios, da capitalização de juros e da mora em ações que digam respeito a contratos bancários.",O reconhecimento da abusividade nos encargos exigidos no período da normalidade contratual (juros remuneratórios e capitalização) descaracteriza a mora.,,,,,,,,Não Suspender,,,,,Tema 28 - Capitalização / Anatocismo - O reconhecimento da abusividade nos encargos exigidos no período da normalidade contratual (juros remuneratórios e capitalização) descaracteriza a mora.
Tema STJ,29,Transitado em julgado,,19/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO DO CONSUMIDOR,Interpretação / Revisão de Contrato,Discussão acerca da mora em ações que digam respeito a contratos bancários.,A simples propositura da ação de revisão de contrato não inibe a caracterização da mora do autor.,,,,,,,,Não Suspender,,,,,Tema 29 - Interpretação / Revisão de Contrato - A simples propositura da ação de revisão de contrato não inibe a caracterização da mora do autor.
Tema STJ,30,Transitado em julgado,,19/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO CIVIL,Limitação de Juros,"Discute matérias, quando ativadas em ações que digam respeito a contratos bancários: a) juros remuneratórios; b) capitalização de juros; c)mora; d) comissão de permanência; e) inscrição do nome do devedor em cadastros de proteção ao crédito; f) disposiçõe","Nos contratos bancários, não-regidos por legislação específica, os juros moratórios poderão ser convencionados até o limite de 1% ao mês.",,,,,,,,Não Suspender,,,,,"Tema 30 - Limitação de Juros - Nos contratos bancários, não-regidos por legislação específica, os juros moratórios poderão ser convencionados até o limite de 1% ao mês."
Tema STJ,31,Transitado em julgado,,18/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO PROCESSUAL CIVIL E DO TRABALHO,DIREITO PROCESSUAL CIVIL E DO TRABALHO,Discussão acerca da mora e da inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancário.,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito;ii) houver demonstr",,,,,,,,Não Suspender,,,,,"Tema 31 - DIREITO PROCESSUAL CIVIL E DO TRABALHO - A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito;ii) houver demonstr"
Tema STJ,32,Transitado em julgado,,18/08/2008,,22/10/2008,10/03/2009,15/05/2010,DIREITO DO CONSUMIDOR,Inclusão Indevida em Cadastro de Inadimplentes,Discussão acerca da mora e da  inscrição do nome do devedor em cadastros de proteção ao crédito em ações que digam respeito a contratos bancários.,"A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii) houver demonst",,,,,,,,Não Suspender,,,,,"Tema 32 - Inclusão Indevida em Cadastro de Inadimplentes - A abstenção da inscrição/manutenção em cadastro de inadimplentes, requerida em antecipação de tutela e/ou medida cautelar, somente será deferida se, cumulativamente: i) a ação for fundada em questionamento integral ou parcial do débito; ii) houver demonst"
